tag	version	custom	abstract	datatype	iord	tlabel	doc
DocumentCreationDate	dei/2012	0	0	date	D	Document Creation Date	The date the document was made available and submitted, in CCYY-MM-DD format. The date of submission, date of acceptance by the recipient, and the document effective date are all potentially different.
DocumentCreationDate	dei/2014	0	0	date	D	Document Creation Date	The date the document was made available and submitted, in CCYY-MM-DD format. The date of submission, date of acceptance by the recipient, and the document effective date are all potentially different.
DocumentCreationDate	dei/2018	0	0	date	D	Document Creation Date	The date the document was made available and submitted, in CCYY-MM-DD format. The date of submission, date of acceptance by the recipient, and the document effective date are all potentially different.
DocumentEffectiveDate	dei/2012	0	0	date	D	Document Effective Date	The date when a document, upon receipt and acceptance, becomes officially effective, in CCYY-MM-DD format. Usually it is a system-assigned date time value, but it may be declared by the submitter in some cases.
DocumentEffectiveDate	dei/2014	0	0	date	D	Document Effective Date	The date when a document, upon receipt and acceptance, becomes officially effective, in CCYY-MM-DD format. Usually it is a system-assigned date time value, but it may be declared by the submitter in some cases.
DocumentEffectiveDate	dei/2018	0	0	date	D	Document Effective Date	The date when a document, upon receipt and acceptance, becomes officially effective, in CCYY-MM-DD format. Usually it is a system-assigned date time value, but it may be declared by the submitter in some cases.
DocumentPeriodEndDate	dei/2012	0	0	date	D	Document Period End Date	The end date of the period reflected on the cover page if a periodic report. For all other reports and registration statements containing historical data, it is the date up through which that historical data is presented. If there is no historical data in the report, use the filing date. The format of the date is CCYY-MM-DD.
DocumentPeriodEndDate	dei/2014	0	0	date	D	Document Period End Date	The end date of the period reflected on the cover page if a periodic report. For all other reports and registration statements containing historical data, it is the date up through which that historical data is presented. If there is no historical data in the report, use the filing date. The format of the date is CCYY-MM-DD.
DocumentPeriodEndDate	dei/2018	0	0	date	D	Document Period End Date	The end date of the period reflected on the cover page if a periodic report. For all other reports and registration statements containing historical data, it is the date up through which that historical data is presented. If there is no historical data in the report, use the filing date. The format of the date is CCYY-MM-DD.
DocumentType	dei/2012	0	0	submissionType	D	Document Type	The type of document being provided (such as 10-K, 10-Q, 485BPOS, etc). The document type is limited to the same value as the supporting SEC submission type, or the word "Other".
DocumentType	dei/2014	0	0	submissionType	D	Document Type	The type of document being provided (such as 10-K, 10-Q, 485BPOS, etc). The document type is limited to the same value as the supporting SEC submission type, or the word "Other".
DocumentType	dei/2018	0	0	submissionType	D	Document Type	The type of document being provided (such as 10-K, 10-Q, 485BPOS, etc). The document type is limited to the same value as the supporting SEC submission type, or the word 'Other'.
EntityCentralIndexKey	dei/2012	0	0	centralIndexKey	D	Entity Central Index Key	A unique 10-digit SEC-issued value to identify entities that have filed disclosures with the SEC. It is commonly abbreviated as CIK.
EntityCentralIndexKey	dei/2014	0	0	centralIndexKey	D	Entity Central Index Key	A unique 10-digit SEC-issued value to identify entities that have filed disclosures with the SEC. It is commonly abbreviated as CIK.
EntityCentralIndexKey	dei/2018	0	0	centralIndexKey	D	Entity Central Index Key	A unique 10-digit SEC-issued value to identify entities that have filed disclosures with the SEC. It is commonly abbreviated as CIK.
EntityInvCompanyType	dei/2018	0	0	invCompanyType	D	Entity Inv Company Type	One of: N-1A (Mutual Fund), N-1 (Open-End Separate Account with No Variable Annuities), N-2 (Closed-End Investment Company), N-3 (Separate Account Registered as Open-End Management Investment Company), N-4 (Variable Annuity UIT Separate Account), N-5 (Small Business Investment Company), N-6 (Variable Life UIT Separate Account), S-1 or S-3 (Face Amount Certificate Company), S-6 (UIT, Non-Insurance Product).
EntityRegistrantName	dei/2012	0	0	normalizedString	D	Entity Registrant Name	The exact name of the entity filing the report as specified in its charter, which is required by forms filed with the SEC.
EntityRegistrantName	dei/2014	0	0	normalizedString	D	Entity Registrant Name	The exact name of the entity filing the report as specified in its charter, which is required by forms filed with the SEC.
EntityRegistrantName	dei/2018	0	0	normalizedString	D	Entity Registrant Name	The exact name of the entity filing the report as specified in its charter, which is required by forms filed with the SEC.
ExchangeFee	rr/2012	0	0	NonNegativeMonetaryT	D	Exchange Fee	Exchange Fee includes the maximum fee charged for any exchange or transfer of interest from the Fund to another fund. The Fund may include in a footnote to the table, if applicable, a tabular presentation of the range of exchange fees or a narrative explanation of the fees.
ExchangeFee	rr/2018	0	0	NonNegativeMonetaryT	D	Exchange Fee	Exchange Fee includes the maximum fee charged for any exchange or transfer of interest from the Fund to another fund. The Fund may include in a footnote to the table, if applicable, a tabular presentation of the range of exchange fees or a narrative explanation of the fees.
ExchangeFeeOverRedemption	rr/2012	0	0	NonNegativePure4Type	D	Exchange Fee (as a percentage of Amount Redeemed)	Exchange Fee includes the maximum fee charged for any exchange or transfer of interest from the Fund to another fund. The Fund may include in a footnote to the table, if applicable, a tabular presentation of the range of exchange fees or a narrative explanation of the fees.
ExchangeFeeOverRedemption	rr/2018	0	0	NonNegativePure4Type	D	Exchange Fee (as a percentage of Amount Redeemed)	Exchange Fee includes the maximum fee charged for any exchange or transfer of interest from the Fund to another fund. The Fund may include in a footnote to the table, if applicable, a tabular presentation of the range of exchange fees or a narrative explanation of the fees.
ExpenseBreakpointDiscounts	rr/2012	0	0	string	D	Expense Breakpoint Discounts [Text]	Include the narrative explanations in the order indicated. A Fund may modify the narrative explanations if the explanation contains comparable information to that shown. The narrative explanation regarding sales charge discounts is only required by a Fund that offers such discounts and should specify the minimum level of investment required to qualify for a discount.
ExpenseBreakpointDiscounts	rr/2018	0	0	string	D	Expense Breakpoint Discounts [Text]	Include the narrative explanations in the order indicated. A Fund may modify the narrative explanations if the explanation contains comparable information to that shown. The narrative explanation regarding sales charge discounts is only required by a Fund that offers such discounts and should specify the minimum level of investment required to qualify for a discount.
ExpenseBreakpointMinimumInvestmentRequiredAmount	rr/2012	0	0	monetary	D	Expense Breakpoint, Minimum Investment Required [Amount]	This element represents the minimum level of investment required to qualify for discounted sales charges or fund expenses (SEC Form N-1A 2006-09-14 A.3.instructions.1.b).
ExpenseBreakpointMinimumInvestmentRequiredAmount	rr/2018	0	0	monetary	D	Expense Breakpoint, Minimum Investment Required [Amount]	This element represents the minimum level of investment required to qualify for discounted sales charges or fund expenses (SEC Form N-1A 2006-09-14 A.3.instructions.1.b).
ExpenseExampleByYearCaption	rr/2012	0	0	string	D	Expense Example by, Year, Caption [Text]	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleByYearCaption	rr/2018	0	0	string	D	Expense Example by, Year, Caption [Text]	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleByYearColumnName	rr/2012	0	0	textBlock	D	Expense Example, By Year, Column [Text]	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleByYearColumnName	rr/2018	0	0	textBlock	D	Expense Example, By Year, Column [Text]	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleByYearHeading	rr/2012	0	0	string	D	Expense Example by Year [Heading]	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleByYearHeading	rr/2018	0	0	string	D	Expense Example by Year [Heading]	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleClosingTextBlock	rr/2012	0	0	textBlock	D	Expense Example Closing [Text Block]	The Example does not reflect sales charges (loads) on reinvested dividends [and other distributions]. If these sales charges (loads) were included, your costs would be higher.
ExpenseExampleClosingTextBlock	rr/2018	0	0	textBlock	D	Expense Example Closing [Text Block]	The Example does not reflect sales charges (loads) on reinvested dividends [and other distributions]. If these sales charges (loads) were included, your costs would be higher.
ExpenseExampleHeading	rr/2012	0	0	string	D	Expense Example [Heading]	Heading for Expense Example.
ExpenseExampleHeading	rr/2018	0	0	string	D	Expense Example [Heading]	Heading for Expense Example.
ExpenseExampleNarrativeTextBlock	rr/2012	0	0	textBlock	D	Expense Example Narrative [Text Block]	The Example is intended to help you compare the cost of investing in the Fund with the cost of investing in other mutual funds.
ExpenseExampleNarrativeTextBlock	rr/2018	0	0	textBlock	D	Expense Example Narrative [Text Block]	The Example is intended to help you compare the cost of investing in the Fund with the cost of investing in other mutual funds.
ExpenseExampleNoRedemptionByYearCaption	rr/2012	0	0	string	D	Expense Example, No Redemption, By Year, Caption [Text]	You would pay the following expenses if you did not redeem your shares. Include the second 1-, 3-, 5-, and 10-year periods and related narrative explanation only if a sales charge (load) or other fee is charged upon redemption.
ExpenseExampleNoRedemptionByYearCaption	rr/2018	0	0	string	D	Expense Example, No Redemption, By Year, Caption [Text]	You would pay the following expenses if you did not redeem your shares. Include the second 1-, 3-, 5-, and 10-year periods and related narrative explanation only if a sales charge (load) or other fee is charged upon redemption.
ExpenseExampleNoRedemptionByYearColumnName	rr/2012	0	0	textBlock	D	Expense Example, No Redemption, By Year, Column [Text]	You would pay the following expenses if you did not redeem your shares.
ExpenseExampleNoRedemptionByYearColumnName	rr/2018	0	0	textBlock	D	Expense Example, No Redemption, By Year, Column [Text]	You would pay the following expenses if you did not redeem your shares.
ExpenseExampleNoRedemptionNarrativeTextBlock	rr/2012	0	0	textBlock	D	Expense Example, No Redemption Narrative [Text Block]	Contains a command for the SEC Viewer for the role corresponding to ExpenseExampleNoRedemption.
ExpenseExampleNoRedemptionNarrativeTextBlock	rr/2018	0	0	textBlock	D	Expense Example, No Redemption Narrative [Text Block]	Contains a command for the SEC Viewer for the role corresponding to ExpenseExampleNoRedemption.
ExpenseExampleNoRedemptionTableTextBlock	rr/2012	0	0	textBlock	D	Expense Example, No Redemption [Table]	Contains a command for the SEC Viewer for the role corresponding to ExpenseExampleNoRedemption.
ExpenseExampleNoRedemptionTableTextBlock	rr/2018	0	0	textBlock	D	Expense Example, No Redemption [Table]	Contains a command for the SEC Viewer for the role corresponding to ExpenseExampleNoRedemption.
ExpenseExampleNoRedemptionYear01	rr/2012	0	0	NonNegativeMonetaryT	D	Expense Example, No Redemption, 1 Year	You would pay the following expenses if you did not redeem your shares. Include the second 1-, 3-, 5-, and 10-year periods and related narrative explanation only if a sales charge (load) or other fee is charged upon redemption.
ExpenseExampleNoRedemptionYear01	rr/2018	0	0	NonNegativeMonetaryT	D	Expense Example, No Redemption, 1 Year	You would pay the following expenses if you did not redeem your shares. Include the second 1-, 3-, 5-, and 10-year periods and related narrative explanation only if a sales charge (load) or other fee is charged upon redemption.
ExpenseExampleNoRedemptionYear03	rr/2012	0	0	NonNegativeMonetaryT	D	Expense Example, No Redemption, 3 Years	You would pay the following expenses if you did not redeem your shares. Include the second 1-, 3-, 5-, and 10-year periods and related narrative explanation only if a sales charge (load) or other fee is charged upon redemption.
ExpenseExampleNoRedemptionYear03	rr/2018	0	0	NonNegativeMonetaryT	D	Expense Example, No Redemption, 3 Years	You would pay the following expenses if you did not redeem your shares. Include the second 1-, 3-, 5-, and 10-year periods and related narrative explanation only if a sales charge (load) or other fee is charged upon redemption.
ExpenseExampleNoRedemptionYear05	rr/2012	0	0	NonNegativeMonetaryT	D	Expense Example, No Redemption, 5 Years	You would pay the following expenses if you did not redeem your shares. Include the second 1-, 3-, 5-, and 10-year periods and related narrative explanation only if a sales charge (load) or other fee is charged upon redemption.
ExpenseExampleNoRedemptionYear05	rr/2018	0	0	NonNegativeMonetaryT	D	Expense Example, No Redemption, 5 Years	You would pay the following expenses if you did not redeem your shares. Include the second 1-, 3-, 5-, and 10-year periods and related narrative explanation only if a sales charge (load) or other fee is charged upon redemption.
ExpenseExampleNoRedemptionYear10	rr/2012	0	0	NonNegativeMonetaryT	D	Expense Example, No Redemption, 10 Years	You would pay the following expenses if you did not redeem your shares. Include the second 1-, 3-, 5-, and 10-year periods and related narrative explanation only if a sales charge (load) or other fee is charged upon redemption.
ExpenseExampleNoRedemptionYear10	rr/2018	0	0	NonNegativeMonetaryT	D	Expense Example, No Redemption, 10 Years	You would pay the following expenses if you did not redeem your shares. Include the second 1-, 3-, 5-, and 10-year periods and related narrative explanation only if a sales charge (load) or other fee is charged upon redemption.
ExpenseExampleWithRedemptionTableTextBlock	rr/2012	0	0	textBlock	D	Expense Example, With Redemption [Table]	Contains a command for the SEC Viewer for the role corresponding to ExpenseExample.
ExpenseExampleWithRedemptionTableTextBlock	rr/2018	0	0	textBlock	D	Expense Example, With Redemption [Table]	Contains a command for the SEC Viewer for the role corresponding to ExpenseExample.
ExpenseExampleYear01	rr/2012	0	0	NonNegativeMonetaryT	D	Expense Example, with Redemption, 1 Year	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleYear01	rr/2018	0	0	NonNegativeMonetaryT	D	Expense Example, with Redemption, 1 Year	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleYear03	rr/2012	0	0	NonNegativeMonetaryT	D	Expense Example, with Redemption, 3 Years	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleYear03	rr/2018	0	0	NonNegativeMonetaryT	D	Expense Example, with Redemption, 3 Years	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleYear05	rr/2012	0	0	NonNegativeMonetaryT	D	Expense Example, with Redemption, 5 Years	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleYear05	rr/2018	0	0	NonNegativeMonetaryT	D	Expense Example, with Redemption, 5 Years	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleYear10	rr/2012	0	0	NonNegativeMonetaryT	D	Expense Example, with Redemption, 10 Years	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExampleYear10	rr/2018	0	0	NonNegativeMonetaryT	D	Expense Example, with Redemption, 10 Years	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
ExpenseExchangeTradedFundCommissions	rr/2012	0	0	string	D	Expense Exchange Traded Fund Commissions [Text]	Modify the narrative explanation to state that Fund shares are sold on a national securities exchange at the end of the time periods indicated, and that brokerage commissions for buying and selling Fund shares through a broker are not reflected.
ExpenseExchangeTradedFundCommissions	rr/2018	0	0	string	D	Expense Exchange Traded Fund Commissions [Text]	Modify the narrative explanation to state that Fund shares are sold on a national securities exchange at the end of the time periods indicated, and that brokerage commissions for buying and selling Fund shares through a broker are not reflected.
ExpenseFootnotesTextBlock	rr/2012	0	0	textBlock	D	Expense Footnotes [Text Block]	Shareholder Fees.
ExpenseFootnotesTextBlock	rr/2018	0	0	textBlock	D	Expense Footnotes [Text Block]	Shareholder Fees.
ExpenseHeading	rr/2012	0	0	string	D	Expense [Heading]	Risk/Return Summary Fee Table Includes the following information, in plain English under rule 421(d) under the Securities Act, after Item 2 Fees and expenses of the Fund This table describes the fees and expenses that you may pay if you buy and hold shared of the Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $[_____] in [name of fund family] funds. Shareholder Fees (fees paid directly from your investment) Example This Example is intended to help you compare the cost of investing in the Fund with the cost of investing in other mutual funds. The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower, based on these assumptions your costs would be You would pay the following expenses if you did not redeem your shares The Example does not reflect sales charges (loads) on reinvested dividends [and other distributions]. If these sales charges (loads) were included, your costs would be higher. Portfolio Turnover The Fund pays transaction costs, such as commissions, when it buys and sells securities (or "turns over" its portfolio). A higher portfolio turnover may indicate higher transaction costs. These costs, which are not reflected in annual fund operating expenses or in the example, affect the Fund's performance. During the most recent fiscal year, the Fund's portfolio turnover rate was __% of the average value of its whole portfolio. Instructions. A.3.instructions.6 New Funds. For purposes of this Item, a "New Fund" is a Fund that does not include in Form N-1A financial statements reporting operating results or that includes financial statements for the Fund's initial fiscal year reporting operating results for a period of 6 months or less. The following Instructions app
ExpenseHeading	rr/2018	0	0	string	D	Expense [Heading]	Risk/Return Summary Fee Table Includes the following information, in plain English under rule 421(d) under the Securities Act, after Item 2 Fees and expenses of the Fund This table describes the fees and expenses that you may pay if you buy and hold shared of the Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $[_____] in [name of fund family] funds. Shareholder Fees (fees paid directly from your investment) Example This Example is intended to help you compare the cost of investing in the Fund with the cost of investing in other mutual funds. The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower, based on these assumptions your costs would be You would pay the following expenses if you did not redeem your shares The Example does not reflect sales charges (loads) on reinvested dividends [and other distributions]. If these sales charges (loads) were included, your costs would be higher. Portfolio Turnover The Fund pays transaction costs, such as commissions, when it buys and sells securities (or "turns over" its portfolio). A higher portfolio turnover may indicate higher transaction costs. These costs, which are not reflected in annual fund operating expenses or in the example, affect the Fund's performance. During the most recent fiscal year, the Fund's portfolio turnover rate was __% of the average value of its whole portfolio. Instructions. A.3.instructions.6 New Funds. For purposes of this Item, a "New Fund" is a Fund that does not include in Form N-1A financial statements reporting operating results or that includes financial statements for the Fund's initial fiscal year reporting operating results for a period of 6 months or less. The following Instructions app
ExpenseNarrativeTextBlock	rr/2012	0	0	textBlock	D	Expense Narrative [Text Block]	This table describes the fees and expenses that you may pay if you buy and hold shared of the Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $[_____] in [name of fund family] funds. Include the narrative explanations in the order indicated. A Fund may modify the narrative explanations if the explanation contains comparable information to that shown. The narrative explanation regarding sales charge discounts is only required by a Fund that offers such discounts and should specify the minimum level of investment required to qualify for a discount. Modify the narrative explanation to state that Fund shares are sold on a national securities exchange at the end of the time periods indicated, and that brokerage commissions for buying and selling Fund shares through a broker are not reflected.
ExpenseNarrativeTextBlock	rr/2018	0	0	textBlock	D	Expense Narrative [Text Block]	This table describes the fees and expenses that you may pay if you buy and hold shared of the Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $[_____] in [name of fund family] funds. Include the narrative explanations in the order indicated. A Fund may modify the narrative explanations if the explanation contains comparable information to that shown. The narrative explanation regarding sales charge discounts is only required by a Fund that offers such discounts and should specify the minimum level of investment required to qualify for a discount. Modify the narrative explanation to state that Fund shares are sold on a national securities exchange at the end of the time periods indicated, and that brokerage commissions for buying and selling Fund shares through a broker are not reflected.
ExpensesDeferredChargesTextBlock	rr/2012	0	0	textBlock	D	Expenses Deferred Charges [Text Block]	A Fund may include in a footnote to the table, if applicable, a tabular presentation showing the amount of deferred sales charges (loads) over time or a narrative explanation of the sales charges (loads) (e.g., __% in the first year after purchase, declining to __% in the __ year and eliminated thereafter).
ExpensesDeferredChargesTextBlock	rr/2018	0	0	textBlock	D	Expenses Deferred Charges [Text Block]	A Fund may include in a footnote to the table, if applicable, a tabular presentation showing the amount of deferred sales charges (loads) over time or a narrative explanation of the sales charges (loads) (e.g., __% in the first year after purchase, declining to __% in the __ year and eliminated thereafter).
ExpensesNotCorrelatedToRatioDueToAcquiredFundFees	rr/2012	0	0	string	D	Expenses Not Correlated to Ratio Due to Acquired Fund Fees [Text]	The Fund may clarify in a footnote to the fee table that the total annual fund operating expenses under Item 3 do not correlate to the ratio of expenses to average net assets given in response to Item 8, which reflects the operating expenses of the Fund and does not include Acquired Fund fees and expenses.
ExpensesNotCorrelatedToRatioDueToAcquiredFundFees	rr/2018	0	0	string	D	Expenses Not Correlated to Ratio Due to Acquired Fund Fees [Text]	The Fund may clarify in a footnote to the fee table that the total annual fund operating expenses under Item 3 do not correlate to the ratio of expenses to average net assets given in response to Item 8, which reflects the operating expenses of the Fund and does not include Acquired Fund fees and expenses.
ExpensesOverAssets	rr/2012	0	0	NonNegativePure4Type	D	Expenses (as a percentage of Assets)	Total Annual Fund Operating Expenses. If the Fund is a Feeder Fund, reflect the aggregate expenses of the Feeder Fund and the Master Fund in a single fee table using the captions provided. In a footnote to the fee table, state that the table and Example reflect the expenses of both the Feeder and Master Funds. If the prospectus offers more than one Class of a Multiple Class Fund or more than one Feeder Fund that invests in the same Master Fund, provide a separate response for each Class or Feeder Fund. Base the percentages of "Annual Fund Operating Expenses" on amounts incurred during the Fund's most recent fiscal year, but include in expenses amounts that would have been incurred absent expense reimbursement or fee waiver arrangements. If the Fund has changed its fiscal year and, as a result, the most recent fiscal year is less than three months, use the fiscal year prior to the most recent fiscal year as the basis for determining "Annual Fund Operating Expenses.
ExpensesOverAssets	rr/2018	0	0	NonNegativePure4Type	D	Expenses (as a percentage of Assets)	Total Annual Fund Operating Expenses. If the Fund is a Feeder Fund, reflect the aggregate expenses of the Feeder Fund and the Master Fund in a single fee table using the captions provided. In a footnote to the fee table, state that the table and Example reflect the expenses of both the Feeder and Master Funds. If the prospectus offers more than one Class of a Multiple Class Fund or more than one Feeder Fund that invests in the same Master Fund, provide a separate response for each Class or Feeder Fund. Base the percentages of "Annual Fund Operating Expenses" on amounts incurred during the Fund's most recent fiscal year, but include in expenses amounts that would have been incurred absent expense reimbursement or fee waiver arrangements. If the Fund has changed its fiscal year and, as a result, the most recent fiscal year is less than three months, use the fiscal year prior to the most recent fiscal year as the basis for determining "Annual Fund Operating Expenses."
ExpensesRepresentBothMasterAndFeeder	rr/2012	0	0	string	D	Expenses Represent Both Master and Feeder [Text]	If the Fund is a Feeder Fund, reflect the aggregate expenses of the Feeder Fund and the Master Fund in a single fee table using the captions provided. In a footnote to the fee table, state that the table and Example reflect the expenses of both the Feeder and Master Funds.
ExpensesRepresentBothMasterAndFeeder	rr/2018	0	0	string	D	Expenses Represent Both Master and Feeder [Text]	If the Fund is a Feeder Fund, reflect the aggregate expenses of the Feeder Fund and the Master Fund in a single fee table using the captions provided. In a footnote to the fee table, state that the table and Example reflect the expenses of both the Feeder and Master Funds.
ExpensesRestatedToReflectCurrent	rr/2012	0	0	string	D	Expenses Restated to Reflect Current [Text]	In a footnote to the table, disclose that the expense information in the table has been restated to reflect current fees.
ExpensesRestatedToReflectCurrent	rr/2018	0	0	string	D	Expenses Restated to Reflect Current [Text]	In a footnote to the table, disclose that the expense information in the table has been restated to reflect current fees.
FeeWaiverOrReimbursementOverAssets	rr/2012	0	0	NonPositivePure4Type	D	Fee Waiver or Reimbursement	Total Annual Fund Operating Expenses. If there were expense reimbursement or fee waiver arrangements that reduced any Fund operating expenses and will continue to reduce them for no less than one year from the effective date of the Fund's registration statement, a Fund may add two captions to the table one caption showing the amount of the expense reimbursement or fee waiver, and a second caption showing the Fund's net expenses after subtracting the fee reimbursement or expense waiver from the total fund operating expenses. The Fund should place these additional captions directly below the "Total Annual Fund Operating Expenses" caption of the table and should use appropriate descriptive captions, such as "Fee Waiver [and/or Expense Reimbursement]" and "Total Annual Fund Operating Expenses After Fee Waiver [and/or Expense Reimbursement]," respectively. If the Fund provides this disclosure, also disclose the period for which the expense reimbursement or fee waiver arrangement is expected to continue, and briefly describe who can terminate the arrangement and under what circumstances.
FeeWaiverOrReimbursementOverAssets	rr/2018	0	0	NonPositivePure4Type	D	Fee Waiver or Reimbursement	Total Annual Fund Operating Expenses. If there were expense reimbursement or fee waiver arrangements that reduced any Fund operating expenses and will continue to reduce them for no less than one year from the effective date of the Fund's registration statement, a Fund may add two captions to the table one caption showing the amount of the expense reimbursement or fee waiver, and a second caption showing the Fund's net expenses after subtracting the fee reimbursement or expense waiver from the total fund operating expenses. The Fund should place these additional captions directly below the "Total Annual Fund Operating Expenses" caption of the table and should use appropriate descriptive captions, such as "Fee Waiver [and/or Expense Reimbursement]" and "Total Annual Fund Operating Expenses After Fee Waiver [and/or Expense Reimbursement]," respectively. If the Fund provides this disclosure, also disclose the period for which the expense reimbursement or fee waiver arrangement is expected to continue, and briefly describe who can terminate the arrangement and under what circumstances.
FeeWaiverOrReimbursementOverAssetsDateOfTermination	rr/2012	0	0	string	D	Fee Waiver or Reimbursement over Assets, Date of Termination	This element represents the date of expected termination of any expense reimbursement or fee waiver arrangements that reduce any Fund operating expenses (SEC Form N-1A 2006-09-14 A.3.table.1.11 Total Annual Fund Operating Expenses A.3.instructions.3.e).
FeeWaiverOrReimbursementOverAssetsDateOfTermination	rr/2018	0	0	string	D	Fee Waiver or Reimbursement over Assets, Date of Termination	This element represents the date of expected termination of any expense reimbursement or fee waiver arrangements that reduce any Fund operating expenses (SEC Form N-1A 2006-09-14 A.3.table.1.11 Total Annual Fund Operating Expenses A.3.instructions.3.e).
HighestQuarterlyReturnLabel	rr/2012	0	0	string	D	Highest Quarterly Return, Label	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
HighestQuarterlyReturnLabel	rr/2018	0	0	string	D	Highest Quarterly Return, Label	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
IndexNoDeductionForFeesExpensesTaxes	rr/2012	0	0	string	D	Index No Deduction for Fees, Expenses, Taxes [Text]	The Performance Table includes a parenthetical, indicating that the Index "(reflects no deduction for fees, expenses or taxes)". This tag is used when this is reflected in a footnote.
IndexNoDeductionForFeesExpensesTaxes	rr/2018	0	0	string	D	Index No Deduction for Fees, Expenses, Taxes [Text]	The Performance Table includes a parenthetical, indicating that the Index "(reflects no deduction for fees, expenses or taxes)". This tag is used when this is reflected in a footnote.
