adsh	cik	name	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	fye	pdate	effdate	form	filed	accepted	instance	nciks	aciks
0001104659-18-072477	836487	MORGAN STANLEY INSTITUTIONAL FUND INC	US	NY	NEW YORK	10036	522 FIFTH AVENUE		800-548-7786	US	NY	NEW YORK	10036	522 FIFTH AVENUE		US	MD	000000000	MORGAN STANLEY DEAN WITTER INSTITUTIONAL FUND INC	19990329	1231	20180430	20181206	497	20181212	2018-12-12 09:47:00.0	ck0000836487-20181206.xml	1	
0001104659-18-072757	778202	PNC FUNDS	US	MD	BALTIMORE	21202	PNC CAPITAL ADVISORS, LLC	ONE EAST PRATT STREET, 5TH FLOOR	3027911700	US	MD	BALTIMORE	21202	PNC CAPITAL ADVISORS, LLC	ONE EAST PRATT STREET, 5TH FLOOR	US	DE	000000000	ALLEGIANT FUNDS	20050613	0531	20181121	20181121	485BPOS	20181213	2018-12-13 13:14:00.0	ck0000778202-20181121.xml	1	
0001104659-18-072765	719423	VALIC CO I	US	NJ	JERSEY CITY	07311	HARBORSIDE 5	185 HUDSON STREET, SUITE 3300	201-324-6378	US	NJ	JERSEY CITY	07311	HARBORSIDE 5	185 HUDSON STREET, SUITE 3300	US	MD	720029692	AIG RETIREMENT CO I	20080501	0531	20181001	20181130	497	20181213	2018-12-13 13:46:00.0	ck0000719423-20181130.xml	1	
0001104659-18-072766	892538	SUNAMERICA SERIES TRUST	US	CA	WOODLAND HILLS	91367	21650 OXNARD STREET, 10TH FLOOR		201-324-6378	US	NJ	JERSEY CITY	07311	HARBORSIDE 5	185 HUDSON STREET, SUITE 3300	US	MA	137002445			0131	20180501	20181130	497	20181213	2018-12-13 13:46:00.0	ck0000892538-20181130.xml	1	
0001104659-18-073002	92751	ALGER FUNDS II	US	NY	NEW YORK	10010	360 PARK AVENUE SOUTH		212-806-8833	US	NY	NEW YORK	10010	360 PARK AVENUE SOUTH		US	MA	042451826	SPECTRA FUNDS	20070503	1031	20181203	20181203	485BPOS	20181214	2018-12-14 10:47:00.0	ck0000092751-20181130.xml	1	
0001104659-18-073450	783740	MFS SERIES TRUST X	US	MA	BOSTON	02199	111 HUNTINGTON AVENUE	24TH FLOOR	18006372929	US	MA	BOSTON	02199	111 HUNTINGTON AVENUE	24TH FLOOR	US	MA	000000000	MFS GOVERNMENT MORTGAGE FUND	19930408	1130	20181128	20181128	485BPOS	20181218	2018-12-18 09:33:00.0	ck0000783740-20181127.xml	1	
0001104659-18-073461	318874	MFS SERIES TRUST VII	US	MA	BOSTON	02199	111 HUNTINGTON AVENUE	24TH FLOOR	18006372929	US	MA	BOSTON	02199	111 HUNTINGTON AVENUE	24TH FLOOR	US	MA	046452925	MFS WORLDWIDE GOVERNMENTS FUND	19930408	0731	20181128	20181128	485BPOS	20181218	2018-12-18 10:25:00.0	ck0000318874-20181127.xml	1	
0001104659-18-073469	1580353	FORETHOUGHT VARIABLE INSURANCE TRUST	US	IN	INDIANAPOLIS	46204	10 WEST MARKET STREET	SUITE 2300	317-223-2700	US	IN	INDIANAPOLIS	46204	10 WEST MARKET STREET	SUITE 2300	US	DE	000000000			1213	20180427	20181204	497	20181218	2018-12-18 11:09:00.0	ck0001580353-20181204.xml	1	
0001104659-18-073499	930007	PACE SELECT ADVISORS TRUST	US	NY	NEW YORK	10019	C/O UBS ASSET MANAGEMENT (AMERICAS) INC.	12TH FLOOR 1285 AVENUE OF THE AMERICAS	212-821-3000	US	NY	NEW YORK	10019	C/O UBS ASSET MANAGEMENT (AMERICAS) INC.	12TH FLOOR 1285 AVENUE OF THE AMERICAS	US	DE	000000000	UBS PACE SELECT ADVISORS TRUST	20020716	0731	20181128	20181128	485BPOS	20181218	2018-12-18 12:55:00.0	ck0000930007-20181128.xml	1	
0001104659-18-073506	930007	PACE SELECT ADVISORS TRUST	US	NY	NEW YORK	10019	C/O UBS ASSET MANAGEMENT (AMERICAS) INC.	12TH FLOOR 1285 AVENUE OF THE AMERICAS	212-821-3000	US	NY	NEW YORK	10019	C/O UBS ASSET MANAGEMENT (AMERICAS) INC.	12TH FLOOR 1285 AVENUE OF THE AMERICAS	US	DE	000000000	UBS PACE SELECT ADVISORS TRUST	20020716	0731	20181128	20181130	497	20181218	2018-12-18 13:22:00.0	ck0000930007-20181130.xml	1	
0001104659-18-073701	1011378	MORGAN STANLEY VARIABLE INSURANCE FUND INC.	US	NY	NEW YORK	10036	522 FIFTH AVENUE		800-548-7786	US	NY	NEW YORK	10036	522 FIFTH AVENUE		US	MD	000000000	UNIVERSAL INSTITUTIONAL FUNDS INC	20020322	1231	20180430	20181213	497	20181219	2018-12-19 08:30:00.0	ck0001011378-20181213.xml	1	
0001104659-18-073702	741375	MORGAN STANLEY INSTITUTIONAL FUND TRUST	US	NY	NEW YORK	10036	522 FIFTH AVENUE		800-548-7786	US	NY	NEW YORK	10036	522 FIFTH AVENUE		US	PA	000000000	MAS FUNDS /MA/	19960724	0930	20180131	20181213	497	20181219	2018-12-19 08:30:00.0	ck0000741375-20181213.xml	1	
0001104659-18-073703	836487	MORGAN STANLEY INSTITUTIONAL FUND INC	US	NY	NEW YORK	10036	522 FIFTH AVENUE		800-548-7786	US	NY	NEW YORK	10036	522 FIFTH AVENUE		US	MD	000000000	MORGAN STANLEY DEAN WITTER INSTITUTIONAL FUND INC	19990329	1231	20180430	20181213	497	20181219	2018-12-19 08:34:00.0	ck0000836487-20181213.xml	1	
0001104659-18-073705	1002427	MORGAN STANLEY MULTI CAP GROWTH TRUST	US	NY	NEW YORK	10036	C/O MORGAN STANLEY	522 FIFTH AVENUE	800-548-7786	US	NY	NEW YORK	10036	C/O MORGAN STANLEY	522 FIFTH AVENUE	US	MA	000000000	MORGAN STANLEY CAPITAL OPPORTUNITIES TRUST	20020129	1130	20180330	20181213	497	20181219	2018-12-19 08:44:00.0	ck0001002427-20181213.xml	1	
0001104659-18-073749	1120543	BAILLIE GIFFORD FUNDS	GB		EH1 3AN	00000	CALTON SQUARE, 1 GREENSIDE ROW	EDINBURGH SCOTLAND	0144131222	GB		EH1 3AN	00000	CALTON SQUARE, 1 GREENSIDE ROW	EDINBURGH SCOTLAND	US	MA	000000000			1231	20181129	20181129	485BPOS	20181219	2018-12-19 11:28:00.0	ck0001120543-20181129.xml	1	
0001104659-18-073875	1039803	PROFUNDS	US	OH	COLUMBUS	43219	4400 EASTON COMMONS, SUITE 200		6144283365	US	OH	COLUMBUS	43219	4400 EASTON COMMONS, SUITE 200		US	DE	522035197			1231	20180501	20181129	497	20181220	2018-12-19 20:36:00.0	ck0001039803-20181129.xml	1	
0001104659-18-074264	778202	PNC FUNDS	US	MD	BALTIMORE	21202	PNC CAPITAL ADVISORS, LLC	ONE EAST PRATT STREET, 5TH FLOOR	3027911700	US	MD	BALTIMORE	21202	PNC CAPITAL ADVISORS, LLC	ONE EAST PRATT STREET, 5TH FLOOR	US	DE	000000000	ALLEGIANT FUNDS	20050613	0531	20180928	20181210	497	20181221	2018-12-21 07:33:00.0	ck0000778202-20181210.xml	1	
0001104659-18-074276	860720	MORGAN STANLEY EUROPEAN EQUITY FUND INC.	US	NY	NEW YORK	10036	522 FIFTH AVENUE		800-869-6397	US	NY	NEW YORK	10036	522 FIFTH AVENUE		US	MD	000000000	MORGAN STANLEY EUROPEAN GROWTH FUND INC	20010618	1031	20180228	20181214	497	20181221	2018-12-21 08:10:00.0	ck0000860720-20181214.xml	3	882381 806564
0001104659-18-074277	730044	MORGAN STANLEY US GOVERNMENT SECURITIES TRUST	US	NY	NEW YORK	10036	522 FIFTH AVENUE		800-869-6397	US	NY	NEW YORK	10036	522 FIFTH AVENUE		US	MA	000000000	MORGAN STANLEY DEAN WITTER US GOVERNMENT SECURITIES TRUST	19980622	1231	20180430	20181214	497	20181221	2018-12-21 08:11:00.0	ck0000730044-20181214.xml	1	
0001104659-18-074278	1002427	MORGAN STANLEY MULTI CAP GROWTH TRUST	US	NY	NEW YORK	10036	C/O MORGAN STANLEY	522 FIFTH AVENUE	800-548-7786	US	NY	NEW YORK	10036	C/O MORGAN STANLEY	522 FIFTH AVENUE	US	MA	000000000	MORGAN STANLEY CAPITAL OPPORTUNITIES TRUST	20020129	1130	20180330	20181214	497	20181221	2018-12-21 08:11:00.0	ck0001002427-20181214.xml	1	
0001104659-18-074328	1502608	ADVISER MANAGED TRUST	US	PA	OAKS	19456	1 FREEDOM VALLEY DR.		(800) 342-5734	US	PA	OAKS	19456	1 FREEDOM VALLEY DR.		US	DE	273560836			0731	20181130	20181130	485BPOS	20181221	2018-12-21 12:32:00.0	ck0001502608-20181128.xml	1	
0001104659-18-074457	1413594	ABERDEEN FUNDS	US	PA	PHILADELPHIA	19103	1735 MARKET STREET	32ND FLOOR	215-405-5700	US	PA	PHILADELPHIA	19103	1735 MARKET STREET	32ND FLOOR	US	DE	000000000			1031	20180228	20181214	497	20181221	2018-12-21 16:26:00.0	ck0001413594-20181214.xml	1	
0001104659-18-074934	892538	SUNAMERICA SERIES TRUST	US	CA	WOODLAND HILLS	91367	21650 OXNARD STREET, 10TH FLOOR		201-324-6378	US	NJ	JERSEY CITY	07311	HARBORSIDE 5	185 HUDSON STREET, SUITE 3300	US	MA	137002445			0131	20181217	20181217	485BPOS	20181227	2018-12-27 17:02:00.0	ck0000892538-20181217.xml	1	
0001104659-18-074935	892538	SUNAMERICA SERIES TRUST	US	CA	WOODLAND HILLS	91367	21650 OXNARD STREET, 10TH FLOOR		201-324-6378	US	NJ	JERSEY CITY	07311	HARBORSIDE 5	185 HUDSON STREET, SUITE 3300	US	MA	137002445			0131	20181217	20181219	497	20181227	2018-12-27 17:06:00.0	ck0000892538-20181219.xml	1	
0001133228-18-005753	1478482	JOHN HANCOCK EXCHANGE-TRADED FUND TRUST	US	MA	BOSTON	02210	601 CONGRESS STREET		617-663-3000	US	MA	BOSTON	02210	601 CONGRESS STREET		US	MA	001017025			0731	20180914	20180914	485BPOS	20181004	2018-10-04 09:40:00.0	jhetfmem-20180914.xml	1	
0001133228-18-005835	1331971	JOHN HANCOCK FUNDS II	US	MA	BOSTON	02210	601 CONGRESS STREET		617-663-2166	US	MA	BOSTON	02210	601 CONGRESS STREET		US	MA	000000000			0831	20180101	20180928	497	20181010	2018-10-10 08:55:00.0	jhfii-20180928.xml	1	
0001133228-18-005837	1329954	JOHN HANCOCK FUNDS III	US	MA	BOSTON	02210	601 CONGRESS STREET		6176633000	US	MA	BOSTON	02210	601 CONGRESS STREET		US	MA	000000000			0331	20180701	20180928	497	20181010	2018-10-10 09:02:00.0	jhfiii-20180928.xml	1	
0001133228-18-005938	315554	JOHN HANCOCK BOND TRUST	US	MA	BOSTON	02210	601 CONGRESS STREET		617-663-3000	US	MA	BOSTON	02210	C/O JOHN HANCOCK FUNDS	601 CONGRESS STREET	US	MA	746122273	HANCOCK JOHN BOND TRUST/	19970505	0531	20181001	20181001	485BPOS	20181018	2018-10-18 12:33:00.0	jhbf-20181001.xml	1	
0001133228-18-005940	856671	JOHN HANCOCK CALIFORNIA TAX-FREE INCOME FUND	US	MA	BOSTON	02210	601 CONGRESS STREET		617-663-3000	US	MA	BOSTON	02210	C/O JOHN HANCOCK FUNDS	601 CONGRESS STREET	US	MA	000000000	JOHN HANCOCK CALIFORNIA TAX FREE INCOME FUND	20110214	0531	20181001	20181001	485BPOS	20181018	2018-10-18 12:38:00.0	jhctfif-20181001.xml	1	
0001133228-18-005942	857769	JOHN HANCOCK MUNICIPAL SECURITIES TRUST	US	MA	BOSTON	02210	601 CONGRESS STREET		617-663-3000	US	MA	BOSTON	02210	C/O JOHN HANCOCK FUNDS	601 CONGRESS STREET	US	MA	000000000	HANCOCK JOHN MUNICIPAL SECURITIES TRUST	20050323	0531	20181001	20181001	485BPOS	20181018	2018-10-18 12:41:00.0	jhmst-20181001.xml	1	
0001133228-18-005944	45288	JOHN HANCOCK SOVEREIGN BOND FUND	US	MA	BOSTON	02210	JOHN HANCOCK FUNDS	601 CONGRESS STREET	617-663-3000	US	MA	BOSTON	02210	C/O JOHN HANCOCK FUNDS	601 CONGRESS STREET	US	MA	042528977	HANCOCK JOHN SOVEREIGN BOND FUND	19930921	0531	20181001	20181001	485BPOS	20181018	2018-10-18 12:45:00.0	jhmsbf-20181001.xml	1	
0001133228-18-005946	792858	JOHN HANCOCK STRATEGIC SERIES	US	MA	BOSTON	02210	601 CONGRESS STREET		617-663-3000	US	MA	BOSTON	02210	C/O JOHN HANCOCK FUNDS	601 CONGRESS STREET	US	MA	000000000	HANCOCK JOHN STRATEGIC SERIES	19920703	0531	20181001	20181001	485BPOS	20181018	2018-10-18 12:49:00.0	jhss-20181001.xml	1	
0001133228-18-005951	836487	MORGAN STANLEY INSTITUTIONAL FUND INC	US	NY	NEW YORK	10036	522 FIFTH AVENUE		800-548-7786	US	NY	NEW YORK	10036	522 FIFTH AVENUE		US	MD	000000000	MORGAN STANLEY DEAN WITTER INSTITUTIONAL FUND INC	19990329	1231	20181005	20181005	485BPOS	20181019	2018-10-19 10:09:00.0	msifigpp-20181005.xml	1	
0001133228-18-006111	809593	AMERICAN BEACON FUNDS	US	TX	IRVING	75039	220 EAST LAS COLINAS BOULEVARD	SUITE 1200	8173916100	US	TX	IRVING	75039	220 EAST LAS COLINAS BOULEVARD	SUITE 1200	US	MA	000000000	AMERICAN AADVANTAGE FUNDS	19920703	1031	20181028	20181028	485BPOS	20181102	2018-11-02 17:15:00.0	abfunds-20181028.xml	1	
0001133228-18-006113	809593	AMERICAN BEACON FUNDS	US	TX	IRVING	75039	220 EAST LAS COLINAS BOULEVARD	SUITE 1200	8173916100	US	TX	IRVING	75039	220 EAST LAS COLINAS BOULEVARD	SUITE 1200	US	MA	000000000	AMERICAN AADVANTAGE FUNDS	19920703	1031	20181028	20181025	497	20181102	2018-11-02 17:22:00.0	abfunds-20181025.xml	1	
0001133228-18-006120	1450011	PIMCO ETF TRUST	US	CA	NEWPORT BEACH	92660	650 NEWPORT CENTER DRIVE		949.720.6000	US	CA	NEWPORT BEACH	92660	650 NEWPORT CENTER DRIVE		US	DE	000000000			0630	20181031	20181031	485BPOS	20181105	2018-11-05 17:00:00.0	pimcoetf-20181031.xml	1	
0001133228-18-006140	1479360	PIMCO EQUITY SERIES	US	CA	NEWPORT BEACH	92660	650 NEWPORT CENTER DRIVE		949-720-6000	US	CA	NEWPORT BEACH	92660	650 NEWPORT CENTER DRIVE		US	DE	000000000	PIMCO FUNDS EQUITY TRUST	20091223	0630	20181031	20181031	485BPOS	20181109	2018-11-09 11:42:00.0	pimcoeqsrs-20181031.xml	1	
0001133228-18-006222	810893	PIMCO FUNDS	US	CA	NEWPORT BEACH	92660	650 NEWPORT CENTER DRIVE		949-720-6000	US	CA	NEWPORT BEACH	92660	650 NEWPORT CENTER DRIVE		US	MA	952632339			0331	20180730	20181109	497	20181120	2018-11-20 13:34:00.0	pimcofunds-20181109.xml	1	
0001133228-18-006230	1329954	JOHN HANCOCK FUNDS III	US	MA	BOSTON	02210	601 CONGRESS STREET		6176633000	US	MA	BOSTON	02210	601 CONGRESS STREET		US	MA	000000000			0331	20181112	20181113	497	20181121	2018-11-21 12:48:00.0	jhfiii-20181113.xml	1	
0001133228-18-006342	809593	AMERICAN BEACON FUNDS	US	TX	IRVING	75039	220 EAST LAS COLINAS BOULEVARD	SUITE 1200	8173916100	US	TX	IRVING	75039	220 EAST LAS COLINAS BOULEVARD	SUITE 1200	US	MA	000000000	AMERICAN AADVANTAGE FUNDS	19920703	1031	20180430	20181129	497	20181204	2018-12-04 12:07:00.0	ablstrarb-20181129.xml	1	
0001133228-18-006683	1478482	JOHN HANCOCK EXCHANGE-TRADED FUND TRUST	US	MA	BOSTON	02210	601 CONGRESS STREET		617-663-3000	US	MA	BOSTON	02210	601 CONGRESS STREET		US	MA	001017025			0731	20181213	20181213	497	20181218	2018-12-18 09:40:00.0	jhetf-20181213.xml	1	
0001133228-18-006712	1331971	JOHN HANCOCK FUNDS II	US	MA	BOSTON	02210	601 CONGRESS STREET		617-663-2166	US	MA	BOSTON	02210	601 CONGRESS STREET		US	MA	000000000			0831	20181201	20181201	485BPOS	20181219	2018-12-19 09:58:00.0	jhfii-20181201.xml	1	
0001133228-18-006757	22370	JOHN HANCOCK INVESTMENT TRUST	US	MA	BOSTON	02210	601 CONGRESS STREET		617-663-3000	US	MA	BOSTON	02210	C/O JOHN HANCOCK FUNDS	601 CONGRESS STREET	US	MA	746035056	HANCOCK JOHN INVESTMENT TRUST /MA/	19950131	1031	20180301	20181213	497	20181220	2018-12-20 09:37:00.0	jhinvttrust-20181213.xml	1	
0001133228-18-006786	22370	JOHN HANCOCK INVESTMENT TRUST	US	MA	BOSTON	02210	601 CONGRESS STREET		617-663-3000	US	MA	BOSTON	02210	C/O JOHN HANCOCK FUNDS	601 CONGRESS STREET	US	MA	746035056	HANCOCK JOHN INVESTMENT TRUST /MA/	19950131	1031	20181213	20181213	485BPOS	20181221	2018-12-21 09:31:00.0	jhitgtof-20181213.xml	1	
0001133228-18-006854	810893	PIMCO FUNDS	US	CA	NEWPORT BEACH	92660	650 NEWPORT CENTER DRIVE		949-720-6000	US	CA	NEWPORT BEACH	92660	650 NEWPORT CENTER DRIVE		US	MA	952632339			0331	20181207	20181210	497	20181226	2018-12-26 14:30:00.0	pimcofunds-20181210.xml	1	
0001144204-18-052640	1004658	VIRTUS RETIREMENT TRUST	US	MA	GREENFIELD	01301	101 MUNSON STREET		800-243-1574	US	CT	HARTFORD	06103	100 PEARL STREET				000000000	VIRTUS INSTITUTIONAL TRUST	20081020	1231	20180430	20180925	497	20181005	2018-10-05 09:59:00.0	vrt-20171231.xml	1	
0001144204-18-052865	1577579	BARINGS FUNDS TRUST	US	NC	CHARLOTTE	28202	C/O BARINGS LLC	300 SOUTH TRYON STREET, STE. 2500	704-805-7200	US	NC	CHARLOTTE	28202	C/O BARINGS LLC	300 SOUTH TRYON STREET, STE. 2500	US	MA	000000000	BABSON CAPITAL FUNDS TRUST	20130522	0630	20180918	20180918	485BPOS	20181009	2018-10-09 09:42:00.0	bcft-20180630.xml	1	
0001144204-18-052873	916053	MASSMUTUAL SELECT FUNDS	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		(860) 562-1000	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		US	CT	000000000	MASSMUTUAL INSTITUTIONAL FUNDS	19931213	0930	20180201	20180921	497	20181009	2018-10-09 10:15:00.0	mmsf-20180921.xml	1	
0001144204-18-053985	67160	MML SERIES INVESTMENT FUND	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		(860) 562-1000	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		US	CT	042476032	MML EQUITY INVESTMENT CO INC	19850227	1231	20180501	20181003	497	20181016	2018-10-16 13:22:00.0	msif-20181003.xml	1	
0001144204-18-054138	772129	GMO TRUST	US	MA	BOSTON	02110	40 ROWES WHARF		6173467646	US	MA	BOSTON	02110	40 ROWES WHARF		US	MA	000000000	GMO CORE TRUST	19900927	0831	20180630	20180925	497	20181017	2018-10-17 10:57:00.0	gmot-20180228.xml	1	
0001144204-18-054139	1521894	GMO SERIES TRUST	US	MA	BOSTON	02210	40 ROWES WHARF		617-346-7646	US	MA	BOSTON	02210	40 ROWES WHARF		US	MA	000000000			0228	20180630	20180925	497	20181017	2018-10-17 10:58:00.0	gmost-20180228.xml	1	
0001144204-18-054439	887340	MAINSTAY VP FUNDS TRUST	US	NY	NEW YORK	10010	51 MADISON AVE		2125767000	US	NY	NEW YORK	10010	51 MADISON AVE		US	DE	133186036	MAINSTAY VP SERIES FUND INC	20010518	1231	20180501	20180928	497	20181018	2018-10-18 17:27:00.0	ck0000887340-20171231.xml	1	
0001144204-18-054440	887340	MAINSTAY VP FUNDS TRUST	US	NY	NEW YORK	10010	51 MADISON AVE		2125767000	US	NY	NEW YORK	10010	51 MADISON AVE		US	DE	133186036	MAINSTAY VP SERIES FUND INC	20010518	1231	20180501	20181001	497	20181018	2018-10-18 17:28:00.0	ck0000887340-20181001.xml	1	
0001144204-18-054441	887340	MAINSTAY VP FUNDS TRUST	US	NY	NEW YORK	10010	51 MADISON AVE		2125767000	US	NY	NEW YORK	10010	51 MADISON AVE		US	DE	133186036	MAINSTAY VP SERIES FUND INC	20010518	1231	20180501	20180928	497	20181018	2018-10-18 17:29:00.0	ck0000887340-20171231.xml	1	
0001144204-18-055465	772129	GMO TRUST	US	MA	BOSTON	02110	40 ROWES WHARF		6173467646	US	MA	BOSTON	02110	40 ROWES WHARF		US	MA	000000000	GMO CORE TRUST	19900927	0831	20180630	20181005	497	20181026	2018-10-26 10:33:00.0	gmot-20180228.xml	1	
0001144204-18-057256	916053	MASSMUTUAL SELECT FUNDS	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		(860) 562-1000	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		US	CT	000000000	MASSMUTUAL INSTITUTIONAL FUNDS	19931213	0930	20180209	20181018	497	20181105	2018-11-05 13:10:00.0	mmsf-20181018.xml	1	
0001144204-18-057257	916053	MASSMUTUAL SELECT FUNDS	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		(860) 562-1000	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		US	CT	000000000	MASSMUTUAL INSTITUTIONAL FUNDS	19931213	0930	20180216	20181018	497	20181105	2018-11-05 13:12:00.0	mmsf-20181018.xml	1	
0001144204-18-057482	807878	PFM FUNDS	US	PA	HARRISBURG	17101	213 MARKET STREET		8003383383	US	PA	HARRISBURG	17101	213 MARKET STREET				311480491	COMMONWEALTH CASH RESERVE FUND INC	19920703	0630	20181026	20181026	485BPOS	20181106	2018-11-06 10:24:00.0	ck0000807878-20180630.xml	1	
0001144204-18-058555	1573496	REALITY SHARES ETF TRUST	US	CA	SAN DIEGO	92101	402 WEST BROADWAY, SUITE 2800		(619) 487-1445	US	CA	SAN DIEGO	92101	402 WEST BROADWAY, SUITE 2800		US	DE	000000000	ERNY FINANCIAL ETF TRUST	20130402		20181101	20181031	485BPOS	20181109	2018-11-09 10:26:00.0	ck0001573496-20181031.xml	1	
0001144204-18-059198	722885	PEAR TREE FUNDS	US	MA	LINCOLN	01773	55 OLD BEDFORD ROAD	SUITE 202	8003311244	US	MA	LINCOLN	01773	55 OLD BEDFORD ROAD	SUITE 202			000000000	QUANTITATIVE GROUP OF FUNDS	19940127	0331	20180801	20181107	497	20181113	2018-11-13 12:37:00.0	ck0000722885-20181107.xml	1	
0001144204-18-059552	1672826	OSI ETF TRUST	US	MA	BOSTON	02109	60 STATE STREET	STE 700	617-855-7670	US	MA	BOSTON	02109	60 STATE STREET	STE 700	US	DE	000000000			0630	20181031	20181029	485BPOS	20181114	2018-11-14 08:41:00.0	ck0001672826-20180630.xml	1	
0001144204-18-060416	1109957	CULLEN FUNDS TRUST	US	NY	NEW YORK	10022	645 FIFTH AVE		212-644-1800	US	NY	NEW YORK	10022	645 FIFTH AVE		US	DE	000000000			0630	20181029	20181029	485BPOS	20181116	2018-11-16 11:05:00.0	ck0001109957-20180630.xml	1	
0001144204-18-060699	1006415	HARTFORD MUTUAL FUNDS INC/CT	US	PA	WAYNE	19087	690 LEE ROAD		610-386-4068	US	PA	WAYNE	19087	690 LEE ROAD		US	MD	000000000	ITT HARTFORD MUTUAL FUNDS INC	19960226	1031	20180301	20181101	497	20181119	2018-11-19 13:26:00.0	hmfiic-20181101.xml	1	
0001144204-18-060700	790558	HARTFORD HLS SERIES FUND II INC	US	PA	WAYNE	19087	690 LEE ROAD		610-386-4068	US	PA	WAYNE	19087	690 LEE ROAD		US	MD	411600027	FORTIS INSURANCE SERIES FUND INC	20020222	1231	20180501	20181101	497	20181119	2018-11-19 13:27:00.0	hhlssf-20181101.xml	1	
0001144204-18-060724	1479599	FQF TRUST	US	MA	BOSTON	02109	53 STATE STREET	SUITE 1308	617-292-9805	US	MA	BOSTON	02109	53 STATE STREET	SUITE 1308	US	DE	000000000			0630	20181031	20181029	485BPOS	20181119	2018-11-19 14:49:00.0	ck0001479599-20181029.xml	1	
0001144204-18-060965	1479599	FQF TRUST	US	MA	BOSTON	02109	53 STATE STREET	SUITE 1308	617-292-9805	US	MA	BOSTON	02109	53 STATE STREET	SUITE 1308	US	DE	000000000			0630	20181101	20181101	485BPOS	20181120	2018-11-20 09:30:00.0	ck0001479599-20181030.xml	1	
0001144204-18-061015	1577579	BARINGS FUNDS TRUST	US	NC	CHARLOTTE	28202	C/O BARINGS LLC	300 SOUTH TRYON STREET, STE. 2500	704-805-7200	US	NC	CHARLOTTE	28202	C/O BARINGS LLC	300 SOUTH TRYON STREET, STE. 2500	US	MA	000000000	BABSON CAPITAL FUNDS TRUST	20130522	0630	20181101	20181101	485BPOS	20181120	2018-11-20 13:40:00.0	bcft-20180630.xml	1	
0001144204-18-061016	1577579	BARINGS FUNDS TRUST	US	NC	CHARLOTTE	28202	C/O BARINGS LLC	300 SOUTH TRYON STREET, STE. 2500	704-805-7200	US	NC	CHARLOTTE	28202	C/O BARINGS LLC	300 SOUTH TRYON STREET, STE. 2500	US	MA	000000000	BABSON CAPITAL FUNDS TRUST	20130522	0630	20181101	20181101	485BPOS	20181120	2018-11-20 13:40:00.0	bcft-20180630.xml	1	
0001144204-18-061128	916053	MASSMUTUAL SELECT FUNDS	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		(860) 562-1000	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		US	CT	000000000	MASSMUTUAL INSTITUTIONAL FUNDS	19931213	0930	20180201	20181101	497	20181121	2018-11-21 09:00:00.0	mmsf-20181101.xml	1	
0001144204-18-061129	927972	MASSMUTUAL PREMIER FUNDS	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		(860) 562-1000	US	CT	ENFIELD	06082	100 BRIGHT MEADOW BLVD.		US	CT	000000000	DLB FUND GROUP	19940804	0930	20180201	20181101	497	20181121	2018-11-21 09:01:00.0	mpf-20180201.xml	1	
0001144204-18-061860	1580843	SYNTAX ETF TRUST	US	NY	NEW YORK	10022	110 EAST 59TH STREET	33RD FLOOR	2128832290	US	NY	NEW YORK	10022	110 EAST 59TH STREET	33RD FLOOR	US	DE	376551880			1231	20181023	20181023	485BPOS	20181128	2018-11-28 10:08:00.0	ck0001580843-20171231.xml	1	
0001144204-18-061861	1580843	SYNTAX ETF TRUST	US	NY	NEW YORK	10022	110 EAST 59TH STREET	33RD FLOOR	2128832290	US	NY	NEW YORK	10022	110 EAST 59TH STREET	33RD FLOOR	US	DE	376551880			1231	20181023	20181107	497	20181128	2018-11-28 10:09:00.0	ck0001580843-20171231.xml	1	
0001144204-18-063253	1469192	MAINSTAY FUNDS TRUST	US	NY	NEW YORK	10010	51 MADISON AVENUE		212 576 7000	US	NY	NEW YORK	10010	51 MADISON AVENUE		US	DE	000000000			1031	20181128	20181128	497	20181206	2018-12-06 07:40:00.0	cik0001469192-20181128.xml	1	
0001144204-18-063490	1579982	ARK ETF TRUST	US	NY	NEW YORK	10011	155 WEST 19TH STREET, FIFTH FLOOR		212.426.7040	US	NY	NEW YORK	10011	155 WEST 19TH STREET, FIFTH FLOOR		US	DE	000000000			0831	20181130	20181130	485BPOS	20181207	2018-12-07 09:31:00.0	ck0001579982-20180731.xml	1	
0001144204-18-063708	1053425	HARTFORD SERIES FUND INC	US	PA	WAYNE	19087	690 LEE ROAD		610-386-4068	US	PA	WAYNE	19087	690 LEE ROAD		US	MD	000000000			1231	20180501	20181119	497	20181210	2018-12-10 10:24:00.0	hsfi-20181119.xml	1	
